Zone;Élément;Produit;Année;Unité;Valeur
Bélarus;Nourriture;Viande de Volailles;2017;Milliers de tonnes;264
Bélarus;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;27.98
Bélarus;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;95
Bélarus;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;9.41
Bélarus;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;6.06
Belgique;Production;Viande de Volailles;2017;Milliers de tonnes;463
Belgique;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;338
Belgique;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;-6
Belgique;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;656
Belgique;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;152
Belgique;Pertes;Viande de Volailles;2017;Milliers de tonnes;0
Belgique;Traitement;Viande de Volailles;2017;Milliers de tonnes;33
Belgique;Résidus;Viande de Volailles;2017;Milliers de tonnes;-25
Belgique;Nourriture;Viande de Volailles;2017;Milliers de tonnes;144
Belgique;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;12.65
Belgique;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;44
Belgique;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;4.57
Belgique;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;2.71
Belize;Production;Viande de Volailles;2017;Milliers de tonnes;20
Belize;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
Belize;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;1
Belize;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
Belize;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;19
Belize;Autres utilisations (non alimentaire);Viande de Volailles;2017;Milliers de tonnes;8
Belize;Alimentation pour touristes;Viande de Volailles;2017;Milliers de tonnes;1
Belize;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Belize;Nourriture;Viande de Volailles;2017;Milliers de tonnes;10
Belize;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;25.69
Belize;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;110
Belize;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;8.26
Belize;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;8.37
Bénin;Production;Viande de Volailles;2017;Milliers de tonnes;18
Bénin;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;123
Bénin;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;-20
Bénin;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
Bénin;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;161
Bénin;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Bénin;Nourriture;Viande de Volailles;2017;Milliers de tonnes;161
Bénin;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;14.4
Bénin;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;37
Bénin;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;4.98
Bénin;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;1.71
Bolivie (État plurinational de);Production;Viande de Volailles;2017;Milliers de tonnes;533
Bolivie (État plurinational de);Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
Bolivie (État plurinational de);Variation de stock;Viande de Volailles;2017;Milliers de tonnes;103
Bolivie (État plurinational de);Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;1
Bolivie (État plurinational de);Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;429
Bolivie (État plurinational de);Pertes;Viande de Volailles;2017;Milliers de tonnes;27
Bolivie (État plurinational de);Alimentation pour touristes;Viande de Volailles;2017;Milliers de tonnes;0
Bolivie (État plurinational de);Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Bolivie (État plurinational de);Nourriture;Viande de Volailles;2017;Milliers de tonnes;403
Bolivie (État plurinational de);Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;36
Bolivie (État plurinational de);Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;155
Bolivie (État plurinational de);Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;11.43
Bolivie (État plurinational de);Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;11.91
Bosnie-Herzégovine;Production;Viande de Volailles;2017;Milliers de tonnes;61
Bosnie-Herzégovine;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;10
Bosnie-Herzégovine;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;8
